Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Serda,1,0,1,2.1,2,5,4,4,4,0,0
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,E. Page,1,0,0,2.0,0,0,0,0,1,0,0
1966,1966 NBC player stats OCR.pdf,Mexico (MO) Sports,McFarland,1,0,1,8.0,11,5,5,2,9,0,0
1966,1966 NBC player stats OCR.pdf,Mexico (MO) Sports,Hanson,1,0,1,9.0,12,6,5,3,8,1,1
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,F. Dallimore,1,0,1,4.2,7,4,2,3,1,0,0
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,Foshee,2,0,0,4.0,6,4,4,5,2,0,0
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,Stephenson,1,0,0,0.1,0,0,0,0,0,0,0
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,Doyle,1,0,1,7.0,4,4,3,1,4,0,0
1966,1966 NBC player stats OCR.pdf,Savageville (VA) Red Highlanders,Ames,1,0,1,5.0,10,7,7,2,3,0,0
1966,1966 NBC player stats OCR.pdf,Savageville (VA) Red Highlanders,Sutton,2,0,1,2.0,0,2,2,4,4,0,1
1966,1966 NBC player stats OCR.pdf,Savageville (VA) Red Highlanders,Chandler,1,0,0,7.0,10,7,6,3,8,0,2
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Leavell,1,0,0,4.2,6,3,3,2,1,6,0
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Harris,2,0,0,3.2,3,1,1,1,1,0,0
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Brade,2,0,1,5.0,3,3,1,1,4,3,1
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,S. Snyder,1,0,1,6.0,3,3,3,2,4,2,0
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Schubach,1,0,0,2.0,2,1,1,1,2,1,0
1966,1966 NBC player stats OCR.pdf,Miami (FL) Dodgers,Baumgardner,2,0,1,4.2,10,8,8,7,2,0,1
1966,1966 NBC player stats OCR.pdf,Miami (FL) Dodgers,Serra,2,0,1,9.1,9,6,6,6,3,0,1
1966,1966 NBC player stats OCR.pdf,Miami (FL) Dodgers,Griffin,1,0,0,2.0,2,2,2,2,2,0,0
