Team,Record,Player,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
NORTH CHARLESTON GARCOS,1-2,Thompson,9,1,1,0,0,0,1,0,0,19,8,0,0.111
NORTH CHARLESTON GARCOS,1-2,Smith,10,1,1,0,0,0,0,1,1,5,2,0,0.1
NORTH CHARLESTON GARCOS,1-2,Gooding,11,1,1,0,0,0,0,0,1,0,0,1,0.091
NORTH CHARLESTON GARCOS,1-2,Thackston,3,0,0,0,0,0,0,1,0,0,0,0,0.0
SILER CITY,1-2,Wright,6,3,3,2,0,0,0,0,0,1,0,0,0.5
SILER CITY,1-2,H. Dixon,12,2,5,1,0,0,0,1,1,20,2,1,0.417
SILER CITY,1-2,E. Snyder,5,0,2,0,0,0,0,0,0,0,1,0,0.4
SILER CITY,1-2,C. Smith,4,1,1,1,0,0,0,0,1,0,1,0,0.25
SILER CITY,1-2,Glosson,10,0,1,2,0,0,0,0,1,1,4,1,0.1
SILER CITY,1-2,M. Dixon,11,1,0,0,0,0,1,0,1,22,3,1,0.0
SILER CITY,1-2,Light,12,1,2,0,0,0,0,0,1,11,12,2,0.167
SILER CITY,1-2,Hepler,6,0,1,0,0,0,0,0,2,0,0,0,0.167
SILER CITY,1-2,B. Snyder,14,2,2,0,0,0,0,0,0,0,0,1,0.143
SILER CITY,1-2,Poe,8,1,1,0,0,0,0,0,1,0,1,0,0.125
SILER CITY,1-2,Webster,10,1,1,0,0,0,0,0,0,5,7,1,0.1
SILER CITY,1-2,Budd,2,0,0,0,0,0,0,0,0,0,1,0,0.0
SILER CITY,1-2,Hartsoe,3,0,0,0,0,0,0,0,0,1,0,0,0.0
SILER CITY,1-2,Hicks,1,0,0,0,0,0,0,0,0,0,2,0,0.0
SILER CITY,1-2,Powers,1,0,0,0,0,0,0,0,0,0,0,0,0.0
SILER CITY,1-2,G. Smith,0,0,0,0,0,0,0,0,0,1,0,0,0.0
PERTH AMBOY KOVACS,1-2,Stetsko,2,0,1,0,0,0,0,0,2,11,0,0,0.5
PERTH AMBOY KOVACS,1-2,Franko,11,3,4,0,0,0,1,0,1,0,6,1,0.364
PERTH AMBOY KOVACS,1-2,Gresh,10,1,3,1,0,0,2,0,0,22,8,2,0.3
PERTH AMBOY KOVACS,1-2,Juraska,11,1,3,0,0,0,2,0,0,5,2,1,0.273
PERTH AMBOY KOVACS,1-2,F. Sabine,4,0,1,0,0,0,0,0,0,0,1,0,0.25
PERTH AMBOY KOVACS,1-2,Jugan,13,1,3,1,0,0,1,0,2,23,0,4,0.231
PERTH AMBOY KOVACS,1-2,Dierickx,6,1,1,0,0,0,0,0,0,0,4,0,0.167
PERTH AMBOY KOVACS,1-2,Damico,6,1,1,1,0,0,1,0,1,0,3,0,0.167
PERTH AMBOY KOVACS,1-2,Hucko,8,2,1,1,0,0,1,0,0,4,0,3,0.125
PERTH AMBOY KOVACS,1-2,Losyk,11,1,1,0,0,0,0,1,1,6,0,0,0.091
PERTH AMBOY KOVACS,1-2,Kovacs,8,1,0,0,0,0,1,1,1,3,8,0,0.0
PERTH AMBOY KOVACS,1-2,P. Sabine,1,0,0,0,0,0,0,0,0,0,0,0,0.0
ENID AIRS,1-2,Langley,11,2,6,0,0,0,0,0,1,3,8,1,0.546
ENID AIRS,1-2,Kelly,5,1,2,1,0,0,0,0,1,3,0,0,0.4
ENID AIRS,1-2,Skidgel,8,1,3,1,0,0,0,0,3,3,6,2,0.375
ENID AIRS,1-2,White,14,2,5,1,0,0,0,0,2,8,2,4,0.357
ENID AIRS,1-2,Tabor,10,3,3,0,0,1,0,0,5,14,12,0,0.3
ENID AIRS,1-2,Havenstrite,4,0,1,0,0,0,0,0,0,0,4,0,0.25
ENID AIRS,1-2,Free,13,3,3,1,0,0,1,1,0,5,0,2,0.231
ENID AIRS,1-2,Kellert,10,2,2,0,0,0,0,0,1,35,1,1,0.2
ENID AIRS,1-2,Biggs,9,0,1,1,0,0,0,0,0,3,0,0,0.111
ENID AIRS,1-2,Dawkins,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ENID AIRS,1-2,Riggs,9,0,1,0,0,0,0,0,0,2,3,0,0.111
ENID AIRS,1-2,Nicholas,12,2,1,1,0,0,1,0,0,3,0,0,0.083
ENID AIRS,1-2,Pavlovic,13,2,1,0,0,0,0,0,1,3,0,0,0.077
ENID AIRS,1-2,Hawkins,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ENID AIRS,1-2,Winn,0,0,0,0,0,0,0,0,0,0,0,0,0.0
