Team,W-L,Player,Position,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
MILWAUKEE FALKS,3-2,Kezman,p,2,7,1,1,0,0,0,0,0,0,0,4,0.0,0.143
MILWAUKEE FALKS,3-2,Fricke,1b-lf,5,19,3,4,1,0,0,0,0,3,20,2,0.0,0.211
MILWAUKEE FALKS,3-2,Dane,3b,2,6,0,0,0,0,0,0,0,1,4,4,2.0,0.0
MILWAUKEE FALKS,3-2,Poquette,p,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
MILWAUKEE FALKS,3-2,Lutz,p,4,9,4,3,0,1,0,0,1,2,2,5,0.0,0.333
MILWAUKEE FALKS,3-2,Basco,p,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
MIDLAND USS LOCAL 1212,3-2,Hewitt,rf-lf-cf,5,20,5,5,1,0,0,2,0,0,9,0,1.0,0.25
MIDLAND USS LOCAL 1212,3-2,Batorg,rf,4,11,0,1,0,0,0,0,0,0,0,0,0.0,0.091
MIDLAND USS LOCAL 1212,3-2,McCauley,ss,5,19,3,5,2,0,0,1,0,1,2,8,2.0,0.263
MIDLAND USS LOCAL 1212,3-2,Bradshaw,c,5,20,5,14,3,0,0,0,0,4,34,2,0.0,0.7
MIDLAND USS LOCAL 1212,3-2,Davis,lf,5,14,1,3,1,1,0,0,0,4,3,0,0.0,0.214
MIDLAND USS LOCAL 1212,3-2,Allen,rf-2b-3b,5,16,4,3,2,0,0,0,0,2,8,4,0.0,0.188
MIDLAND USS LOCAL 1212,3-2,Signore,2b,5,17,3,4,1,0,0,0,0,4,7,13,2.0,0.235
MIDLAND USS LOCAL 1212,3-2,Wain,1b,4,12,1,3,1,0,0,0,1,2,37,2,0.0,0.25
MIDLAND USS LOCAL 1212,3-2,Warner,p,2,4,0,0,0,0,0,0,1,0,0,2,0.0,0.0
MIDLAND USS LOCAL 1212,3-2,Trimble,rf,3,4,0,0,0,0,0,0,0,0,1,0,0.0,0.0
MIDLAND USS LOCAL 1212,3-2,McGoye,3b,4,5,1,0,0,0,0,0,0,1,1,0,0.0,0.0
MIDLAND USS LOCAL 1212,3-2,Keating,p,2,3,0,0,0,0,0,0,0,0,0,1,2.0,0.0
MIDLAND USS LOCAL 1212,3-2,Watson,p,2,2,0,0,0,0,0,0,2,1,0,4,1.0,0.0
MIDLAND USS LOCAL 1212,3-2,Fielding,p,2,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0
MIDLAND USS LOCAL 1212,3-2,Peters,c,3,3,0,0,0,0,0,0,1,1,2,12,1.0,0.0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Slinker,lf,4,16,3,2,0,0,0,3,0,1,5,1,1.0,0.125
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Young,3b-ss,4,18,3,5,0,1,0,1,0,5,6,13,3.0,0.278
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Patterson,3b,4,9,0,1,0,0,0,1,0,1,1,7,0.0,0.111
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Economides,rf-cf,4,15,1,3,0,0,0,1,0,2,7,1,1.0,0.2
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Arrigoni,c,4,18,3,4,0,0,0,0,0,1,37,2,1.0,0.222
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Bruns,1b,4,16,0,3,0,0,0,0,0,1,37,0,4.0,0.188
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Fink,2b,4,15,2,3,1,0,0,0,0,0,6,7,1.0,0.2
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Morelli,rf,4,12,3,3,1,0,0,1,0,1,3,5,0.0,0.25
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Brown,p,2,3,1,0,0,0,0,0,0,0,0,2,0.0,0.0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Vega,p,2,3,0,0,0,0,0,0,0,0,3,5,0.0,0.0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Wold,p,1,1,2,1,0,0,0,0,0,0,0,0,1.0,1.0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Romero,p,3,3,0,0,0,0,0,1,0,2,0,1,0.0,0.0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Otero,2b,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Robens,cf,1,2,0,0,0,0,0,0,0,0,3,0,0.0,0.0
ALBUQUERQUE RIO GRANDE LUMBER,2-2,Palmisano,cf,2,6,2,1,0,0,0,0,0,0,4,0,1.0,0.167
SILVER CITY PLANTERS,2-2,L. Reed,ss,4,19,2,2,1,0,0,1,0,2,4,11,0.0,0.105
SILVER CITY PLANTERS,2-2,Miller,cf,4,13,4,2,0,0,0,1,0,2,10,1,0.0,0.154
SILVER CITY PLANTERS,2-2,Turner,3b,4,12,1,2,0,0,0,0,0,1,3,6,1.0,0.167
SILVER CITY PLANTERS,2-2,Chain,c,4,15,1,3,0,0,0,2,0,2,28,3,1.0,0.2
SILVER CITY PLANTERS,2-2,Bynum,2b,4,15,3,6,0,0,0,1,0,1,7,11,1.0,0.4
SILVER CITY PLANTERS,2-2,Gainey,lf,4,11,1,3,0,1,0,0,0,3,6,0,0.0,0.273
SILVER CITY PLANTERS,2-2,J. Reed,1b,4,11,2,3,0,0,0,1,0,1,29,2,0.0,0.273
SILVER CITY PLANTERS,2-2,Bridges,rf,2,4,0,0,0,0,0,0,0,0,1,0,0.0,0.0
SILVER CITY PLANTERS,2-2,Burford,rf-p,3,6,1,0,0,0,0,0,0,1,1,4,1.0,0.0
SILVER CITY PLANTERS,2-2,Day,p-rf,4,10,2,2,1,0,1,1,0,3,2,1,0.0,0.2
SILVER CITY PLANTERS,2-2,Gray,p,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0
SILVER CITY PLANTERS,2-2,Shelton,p,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
CLEO SPRINGS MERCHANTS,2-2,Booher,ss-2b,4,15,1,6,1,0,1,2,0,2,7,9,1.0,0.4
CLEO SPRINGS MERCHANTS,2-2,Lehr,lf-rf,4,10,1,2,0,0,0,0,0,1,4,0,2.0,0.2
CLEO SPRINGS MERCHANTS,2-2,Davis,cf,4,16,2,4,1,0,1,0,0,4,6,1,0.0,0.25
CLEO SPRINGS MERCHANTS,2-2,Matney,rf-c,3,7,0,1,0,0,0,0,0,0,14,1,0.0,0.143
CLEO SPRINGS MERCHANTS,2-2,Chadwick,ss-3b,4,12,1,3,0,0,0,1,0,0,7,4,0.0,0.25
CLEO SPRINGS MERCHANTS,2-2,Cato,lf,4,7,1,1,0,0,0,0,0,0,3,0,1.0,0.143
CLEO SPRINGS MERCHANTS,2-2,Dillard,ss,2,5,0,1,0,0,0,0,0,0,3,4,1.0,0.2
CLEO SPRINGS MERCHANTS,2-2,Benedict,1b,4,13,2,6,0,0,0,1,0,2,32,3,0.0,0.462
CLEO SPRINGS MERCHANTS,2-2,Legros,,3,9,0,1,0,0,0,0,0,0,1,1,0.0,0.111
CLEO SPRINGS MERCHANTS,2-2,Crissman,p,2,5,0,1,0,0,0,0,0,0,1,6,0.0,0.2
CLEO SPRINGS MERCHANTS,2-2,Wymer,rf,1,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0
CLEO SPRINGS MERCHANTS,2-2,Kaiser,p,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
CLEO SPRINGS MERCHANTS,2-2,Oxley,2b-c,3,6,0,1,0,0,0,0,0,1,4,0,0.0,0.167
CLEO SPRINGS MERCHANTS,2-2,Cheatham,c-2b,3,8,0,1,0,0,0,0,0,0,11,2,1.0,0.125
CLEO SPRINGS MERCHANTS,2-2,Walton,lf-3b,2,5,0,0,0,0,0,0,0,0,2,1,0.0,0.0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Haines,1b,4,12,4,4,0,0,0,3,2,1,34,0,1.0,0.333
COLUMBUS BEULAH PARK JOCKEYS,2-2,McLain,lf,3,9,1,3,0,1,0,0,1,6,2,0,0.0,0.333
COLUMBUS BEULAH PARK JOCKEYS,2-2,Heim,cf,4,14,3,2,1,0,0,0,0,4,6,0,1.0,0.143
COLUMBUS BEULAH PARK JOCKEYS,2-2,Boland,c,4,15,3,5,1,0,0,0,0,1,18,2,1.0,0.333
COLUMBUS BEULAH PARK JOCKEYS,2-2,Sells,3b,4,12,2,1,0,0,0,0,0,0,1,17,2.0,0.083
COLUMBUS BEULAH PARK JOCKEYS,2-2,Davies,lf,3,5,3,2,0,0,0,3,1,0,1,0,0.0,0.4
COLUMBUS BEULAH PARK JOCKEYS,2-2,Ritzheimer,ss,4,13,2,5,3,0,0,1,0,3,5,9,0.0,0.385
COLUMBUS BEULAH PARK JOCKEYS,2-2,Pappas,2b,4,12,3,4,3,0,0,0,1,3,7,15,1.0,0.333
COLUMBUS BEULAH PARK JOCKEYS,2-2,Bryden,p,2,2,2,1,1,0,0,0,1,1,1,3,0.0,0.5
COLUMBUS BEULAH PARK JOCKEYS,2-2,Richards,rf,3,8,0,0,0,0,0,0,0,0,1,1,1.0,0.0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Howison,lf,2,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Northrup,p,2,5,0,0,0,0,0,0,0,0,0,8,1.0,0.0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Hord,p,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
COLUMBUS BEULAH PARK JOCKEYS,2-2,Lewis,,3,3,0,2,0,0,0,0,0,0,0,0,0.0,0.667
COLUMBUS BEULAH PARK JOCKEYS,2-2,Walters,p,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DENNIS HOBOES,2-2,Cleary,2b,4,17,3,6,0,0,0,0,1,3,8,4,0.0,0.353
DENNIS HOBOES,2-2,Saia,1b,4,18,5,7,2,0,0,0,0,1,23,0,4.0,0.389
DENNIS HOBOES,2-2,A. Wilcox,ss,4,14,6,6,0,0,0,2,1,2,3,6,1.0,0.429
DENNIS HOBOES,2-2,Burlingame,cf,4,15,5,3,0,0,0,0,0,2,2,2,1.0,0.2
DENNIS HOBOES,2-2,B. Wilcox,lf,4,15,5,6,0,0,0,0,0,6,3,0,1.0,0.4
DENNIS HOBOES,2-2,Moore,3b,4,15,2,6,4,0,0,0,0,11,7,5,1.0,0.4
DENNIS HOBOES,2-2,Clark,c,4,14,4,5,0,0,0,0,0,1,25,2,0.0,0.357
DENNIS HOBOES,2-2,Babineau,cf-rf,3,9,1,1,0,0,0,0,1,0,3,0,0.0,0.111
DENNIS HOBOES,2-2,Cummings,p,1,1,0,1,0,0,0,0,0,0,0,1,0.0,1.0
DENNIS HOBOES,2-2,Whitehead,rf,4,10,1,2,0,0,0,0,0,0,6,1,0.0,0.2
DENNIS HOBOES,2-2,Tucker,p,3,5,0,0,0,0,0,0,0,0,0,3,1.0,0.0
DENNIS HOBOES,2-2,Leyton,,1,1,0,1,0,0,0,0,0,0,0,0,0.0,1.0
AUBURNDALE ATHLETICS,2-2,Roberson,2b,3,11,2,4,0,0,1,1,0,2,6,5,2.0,0.364
AUBURNDALE ATHLETICS,2-2,Clark,3b,4,13,4,3,0,0,0,1,0,0,10,4,2.0,0.231
AUBURNDALE ATHLETICS,2-2,P. Williams,ss,4,16,4,9,1,0,1,1,0,5,13,13,3.0,0.563
AUBURNDALE ATHLETICS,2-2,Loyed,cf-lf,4,17,1,4,0,0,0,0,0,5,12,0,1.0,0.235
AUBURNDALE ATHLETICS,2-2,Swain,lf-cf,4,17,2,4,0,1,0,1,0,1,5,0,0.0,0.235
AUBURNDALE ATHLETICS,2-2,Wilson,rf-2b,4,12,0,2,0,0,0,0,0,0,3,1,0.0,0.167
AUBURNDALE ATHLETICS,2-2,Adair,c,4,14,1,3,1,0,0,0,0,1,23,0,0.0,0.214
