Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB,Pct
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Hunter,2,0,0,6.0,6,5,5,1,6,0,0,
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Miller,1,1,0,8.0,3,1,1,3,5,2,0,
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Wall,1,0,0,2.0,6,2,2,1,2,0,0,
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Szemplenski,1,0,1,1.0,5,2,2,1,1,0,0,
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Hines,1,0,1,2.2,10,3,3,1,1,0,0,
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Trumper,1,0,0,2.1,6,5,5,0,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Pinkerton,2,1,1,10.1,13,6,6,6,10,1,2,
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Cox,1,0,1,8.0,8,6,4,2,7,0,0,
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Fluke,1,0,0,4.2,6,1,0,3,4,0,0,
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Adams,1,0,0,1.2,5,4,2,1,1,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Savageville (VA) Red Highlanders,Chandler,1,0,0,7.0,10,7,6,3,8,0,2,
1966,1966 NBC player stats OCR.pdf,Savageville (VA) Red Highlanders,Sutton,2,0,1,2.0,0,2,2,4,4,0,1,
1966,1966 NBC player stats OCR.pdf,Savageville (VA) Red Highlanders,Ames,1,0,1,5.0,10,7,7,2,3,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Groth,1,1,0,9.0,3,0,0,8,10,0,0,
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Zahn,1,0,1,5.2,3,1,1,6,5,0,0,
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Bitter,2,0,0,4.0,6,7,5,3,3,0,1,
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Kurtz,1,0,1,2.1,3,2,2,4,2,1,0,
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Greene,1,0,0,4.2,4,2,2,2,2,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Lugo,1,1,0,5.0,6,2,1,0,9,1,1,
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Hinckley,1,0,0,4.1,5,1,1,4,5,1,0,
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Smith,1,0,1,3.2,5,4,4,5,3,0,0,
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Allen,1,0,0,2.0,1,0,0,0,2,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,G. Cota Robles,1,1,0,7.0,1,0,0,2,13,0,0,
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Hosner,2,0,1,8.2,16,9,7,5,11,0,1,
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Hinton,2,0,0,6.2,9,3,3,2,7,0,0,
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Martin,2,1,0,6.1,8,8,3,2,3,1,1,
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Martinez,2,0,1,2.0,3,3,2,0,0,2,4,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Clark,2,1,0,14.1,16,5,2,3,10,0,0,
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Copeland,1,0,0,6.2,7,2,2,0,9,0,0,
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Billingham,2,0,1,2.1,5,5,5,4,4,0,0,
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Ferguson,1,0,1,5.2,5,4,3,4,4,1,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Schwartz,2,1,0,7.2,3,3,3,9,7,2,0,
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Gipp,1,0,0,5.0,1,1,1,2,6,0,0,
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Roth,2,0,1,8.1,13,11,10,5,5,0,0,
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Flowers,2,0,1,5.2,3,2,2,0,3,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Carroll,3,1,0,13.2,10,5,5,6,23,1,1,
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Burchardt,4,3,0,20.2,13,3,3,5,21,2,0,
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Echols,3,0,0,15.0,15,6,6,2,12,0,0,
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Allen,2,1,1,4.0,4,3,3,0,4,1,0,
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,G. McWilliams,1,0,1,3.2,3,3,3,0,1,0,0,
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Farrah,1,0,0,2.0,3,1,1,1,1,1,0,
1966,1966 NBC player stats OCR.pdf,West Point (MS) Packers,Dillard,1,0,0,0.0,1,0,0,1,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Deitz,4,2,0,16.2,12,2,1,1,11,0,1,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Soergel,3,2,1,18.1,20,11,10,2,8,1,0,
